Classifier,Count,Cycle,Split,Train Acc,Test Acc,F1 Score,Train Time (ms),clfs per ms,Confusion Matrix,Params
KNN,Full (46),0,0,1,0.971223022,5.839652429,52.55095959,97.69600284,"[[ 59   0   0   0   0   0]
 [  0  76   3   1   0   1]
 [  0   1 141   4   0   0]
 [  0   0   1  99   1   0]
 [  0   0   0   0  74   0]
 [  0   0   0   0   4  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full (46),0,1,1,0.976618705,5.86211458,53.84988785,129.4762731,"[[ 59   0   0   0   0   0]
 [  1  78   2   0   0   0]
 [  0   1 144   0   1   0]
 [  0   1   2  95   2   1]
 [  0   0   0   1  73   0]
 [  0   0   0   0   1  94]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full (46),0,2,1,0.972972973,5.852845376,53.39803696,129.4950292,"[[ 59   0   0   0   0   0]
 [  0  75   5   0   0   0]
 [  0   1 140   4   1   0]
 [  0   0   0 101   0   0]
 [  0   0   0   0  71   3]
 [  0   0   0   1   0  94]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full (46),0,3,1,0.974774775,5.85352442,55.99930286,131.2249774,"[[ 57   0   2   0   0   0]
 [  0  77   3   0   0   0]
 [  0   0 145   1   0   0]
 [  0   0   2  98   1   0]
 [  0   0   0   2  70   2]
 [  0   0   0   1   0  94]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full (46),0,4,1,0.96036036,5.770826657,56.29909039,129.4902183,"[[ 59   0   0   0   0   0]
 [  1  75   2   2   0   0]
 [  0   0 140   5   1   0]
 [  0   0   2  95   4   0]
 [  0   0   0   2  70   2]
 [  0   0   0   0   1  94]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full (46),0,5,1,0.980144404,5.877036928,54.34861183,136.6195138,"[[ 59   0   0   0   0   0]
 [  0  78   1   1   0   0]
 [  0   0 146   0   0   0]
 [  0   0   1  98   2   0]
 [  0   0   0   0  71   3]
 [  0   0   0   1   2  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full (46),0,6,1,0.963898917,5.789014384,54.24969196,132.9785503,"[[ 59   0   0   0   0   0]
 [  1  77   2   0   0   0]
 [  0   1 142   2   1   0]
 [  0   0   4  95   2   0]
 [  0   0   0   0  70   4]
 [  0   0   0   0   3  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full (46),0,7,1,0.960216998,5.777823404,54.89928722,126.2754384,"[[ 59   0   0   0   0   0]
 [  0  76   2   1   1   0]
 [  0   0 140   5   1   0]
 [  0   0   4  96   1   0]
 [  0   0   0   0  71   2]
 [  0   0   0   0   5  89]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full (46),0,8,1,0.96557971,5.803512342,58.45017433,83.8457453,"[[ 59   0   0   0   0   0]
 [  1  77   2   0   0   0]
 [  0   0 139   5   1   0]
 [  0   0   2  97   1   1]
 [  0   0   0   1  70   2]
 [  0   0   0   0   3  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full (46),0,9,1,0.965517241,5.781614146,52.85010338,129.5997186,"[[ 58   0   0   1   0   0]
 [  1  76   3   0   0   0]
 [  0   1 143   1   0   0]
 [  0   0   0  98   2   0]
 [  0   0   0   3  68   2]
 [  0   0   0   0   5  89]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
