Classifier,Count,Cycle,Split,Train Acc,Test Acc,F1 Score,Train Time (ms),clfs per ms,Confusion Matrix,Params
KNN,Full,0,0,1.0,0.9748201438848921,5.862649991026487,104.5985221862793,54.48567522644326,"[[ 59   0   0   0   0   0]
 [  0  78   3   0   0   0]
 [  0   0 141   5   0   0]
 [  0   0   0 100   1   0]
 [  0   0   0   2  72   0]
 [  0   0   0   1   2  92]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,1,1.0,0.9568345323741008,5.738310766338564,89.99853134155273,60.79125617400956,"[[ 58   0   1   0   0   0]
 [  2  77   1   1   0   0]
 [  0   1 141   4   0   0]
 [  0   0   2  97   2   0]
 [  0   0   0   2  66   6]
 [  0   0   0   1   1  93]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,2,1.0,0.9585585585585585,5.7636907552746655,77.39827632904053,70.22525401182506,"[[ 59   0   0   0   0   0]
 [  0  76   3   1   0   0]
 [  0   3 138   4   1   0]
 [  0   0   2  97   2   0]
 [  0   0   0   0  70   4]
 [  0   0   0   0   3  92]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,3,1.0,0.9603603603603603,5.765902079681021,106.3502311706543,73.2949199635943,"[[ 58   0   1   0   0   0]
 [  0  74   3   2   1   0]
 [  0   2 143   1   0   0]
 [  0   0   3  95   3   0]
 [  0   0   0   2  69   3]
 [  0   0   0   1   0  94]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,4,1.0,0.9567567567567568,5.744086675464435,62.398386001586914,117.24984578191544,"[[ 57   0   2   0   0   0]
 [  0  77   2   1   0   0]
 [  0   3 140   3   0   0]
 [  0   0   0  99   2   0]
 [  0   0   0   2  69   3]
 [  0   0   0   3   3  89]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,5,1.0,0.9657039711191335,5.8034898855795625,67.75035858154297,73.88213910237296,"[[ 59   0   0   0   0   0]
 [  0  77   2   0   1   0]
 [  0   0 142   4   0   0]
 [  0   1   3  95   2   0]
 [  0   0   0   1  71   2]
 [  0   0   0   0   3  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,6,1.0,0.9584837545126353,5.74196013259891,98.45032691955566,76.13738019080999,"[[ 57   1   1   0   0   0]
 [  2  73   5   0   0   0]
 [  0   3 141   2   0   0]
 [  0   0   0 100   1   0]
 [  0   0   0   0  71   3]
 [  0   0   0   0   5  89]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,7,1.0,0.9511754068716094,5.706263674449685,105.3504228591919,71.25624002214244,"[[ 58   0   0   0   1   0]
 [  1  76   2   1   0   0]
 [  0   1 140   5   0   0]
 [  0   0   1  95   4   1]
 [  0   0   0   1  66   6]
 [  0   0   0   2   1  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,8,1.0,0.9637681159420289,5.771877156699235,64.84849452972412,108.4525779654571,"[[ 58   1   0   0   0   0]
 [  1  75   4   0   0   0]
 [  0   2 142   0   0   1]
 [  0   0   0  98   3   0]
 [  0   0   0   2  68   3]
 [  0   0   0   0   3  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,9,1.0,0.9655172413793104,5.799064785672101,71.65093421936035,69.78851937214833,"[[ 59   0   0   0   0   0]
 [  0  75   4   1   0   0]
 [  0   1 142   2   0   0]
 [  0   1   2  95   2   0]
 [  0   0   0   2  69   2]
 [  0   0   0   0   2  92]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
