Classifier,Count,Cycle,Split,Train Acc,Test Acc,F1 Score,Train Time (ms),clfs per ms,Confusion Matrix,Params
KNN,Full,0,0,1.0,0.9640287769784173,5.792850862427427,59.249210357666016,107.24011611812178,"[[ 58   0   1   0   0   0]
 [  1  80   0   0   0   0]
 [  0   0 138   6   2   0]
 [  0   0   1  97   2   1]
 [  0   0   0   0  72   2]
 [  0   0   0   0   4  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,1,1.0,0.9640287769784173,5.788332190029666,72.95007705688477,68.7590819662647,"[[ 59   0   0   0   0   0]
 [  0  78   3   0   0   0]
 [  0   0 142   3   1   0]
 [  0   0   1  96   4   0]
 [  0   0   0   1  70   3]
 [  0   0   0   0   4  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,2,1.0,0.9783783783783784,5.877791804697459,74.54962730407715,123.11061248886583,"[[ 59   0   0   0   0   0]
 [  0  77   1   2   0   0]
 [  0   0 144   2   0   0]
 [  0   0   2  96   2   1]
 [  0   0   0   2  72   0]
 [  0   0   0   0   0  95]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,3,1.0,0.9693693693693693,5.824718215480486,67.8485631942749,72.26086357170668,"[[ 59   0   0   0   0   0]
 [  0  77   2   1   0   0]
 [  0   1 144   0   1   0]
 [  0   0   5  96   0   0]
 [  0   0   0   0  71   3]
 [  0   0   0   0   4  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,4,1.0,0.9783783783783784,5.874260957984365,103.4496545791626,75.00304757693118,"[[ 59   0   0   0   0   0]
 [  1  76   3   0   0   0]
 [  0   0 144   2   0   0]
 [  0   0   1  98   2   0]
 [  0   0   0   0  73   1]
 [  0   0   0   1   1  93]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,5,1.0,0.9602888086642599,5.77223584429547,61.15062236785889,123.11501046206324,"[[ 58   0   0   1   0   0]
 [  1  72   5   0   1   1]
 [  0   1 139   3   2   1]
 [  0   1   2  97   1   0]
 [  0   0   0   0  73   1]
 [  0   0   0   0   1  93]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,6,1.0,0.9657039711191335,5.804411230365435,62.399840354919434,115.97871965663565,"[[ 59   0   0   0   0   0]
 [  0  74   5   1   0   0]
 [  0   0 143   3   0   0]
 [  0   0   1  97   2   1]
 [  0   0   0   1  69   4]
 [  0   0   0   1   0  93]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,7,1.0,0.976491862567812,5.866059244376386,66.79971218109131,77.94227812365402,"[[ 58   0   1   0   0   0]
 [  0  75   4   1   0   0]
 [  0   0 145   1   0   0]
 [  0   0   2  98   1   0]
 [  0   0   0   0  72   1]
 [  0   0   0   0   2  92]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,8,1.0,0.9619565217391305,5.785842366054302,104.59907054901123,75.59065350197038,"[[ 59   0   0   0   0   0]
 [  0  76   4   0   0   0]
 [  0   2 140   3   0   0]
 [  0   0   2  97   2   0]
 [  0   0   0   0  71   2]
 [  0   0   0   3   3  88]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,9,1.0,0.9727767695099818,5.836105141846068,63.300132751464844,124.6966049395688,"[[ 59   0   0   0   0   0]
 [  1  77   2   0   0   0]
 [  0   0 143   2   0   0]
 [  0   0   2  97   1   0]
 [  0   0   0   2  69   2]
 [  0   0   0   0   3  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
