Classifier,Count,Cycle,Split,Train Acc,Test Acc,F1 Score,Train Time (ms),clfs per ms,Confusion Matrix,Params
KNN,Full,0,0,1.0,0.9424460431654677,5.655664835863249,69.22156810760498,136.83105008590036,"[[ 59   0   0   0   0   0]
 [  0  72   7   1   1   0]
 [  0   1 140   5   0   0]
 [  0   0   0 100   1   0]
 [  0   0   0   3  62   9]
 [  0   0   0   0   4  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,1,1.0,0.947841726618705,5.6938624938384725,58.690857887268066,140.6774325121105,"[[ 58   0   1   0   0   0]
 [  0  76   4   1   0   0]
 [  0   1 141   4   0   0]
 [  0   1   1  91   7   1]
 [  0   0   0   2  70   2]
 [  0   0   0   1   3  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,2,1.0,0.9567567567567568,5.732743499551786,55.246806144714355,131.5195979060831,"[[ 57   0   2   0   0   0]
 [  2  77   1   0   0   0]
 [  0   4 141   1   0   0]
 [  0   0   0  97   3   1]
 [  0   0   0   1  70   3]
 [  0   0   0   4   2  89]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,3,1.0,0.9513513513513514,5.709480574847986,52.85351276397705,133.20593991847753,"[[ 58   0   1   0   0   0]
 [  2  75   3   0   0   0]
 [  0   2 140   4   0   0]
 [  0   0   2  95   3   1]
 [  0   0   0   3  67   4]
 [  0   0   0   1   1  93]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,4,1.0,0.9477477477477477,5.692883306828423,59.940266609191895,136.85760301181216,"[[ 58   1   0   0   0   0]
 [  1  73   5   1   0   0]
 [  0   2 140   4   0   0]
 [  0   0   3  98   0   0]
 [  0   0   0   4  66   4]
 [  0   0   0   1   3  91]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,5,1.0,0.9476534296028881,5.680789872780727,51.30572319030762,140.73860739865097,"[[ 58   1   0   0   0   0]
 [  0  77   3   0   0   0]
 [  0   0 141   4   1   0]
 [  0   0   1  97   2   1]
 [  0   0   0   0  63  11]
 [  0   0   0   1   4  89]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,6,1.0,0.9530685920577617,5.722367848820143,52.15258598327637,121.85981804325645,"[[ 59   0   0   0   0   0]
 [  2  75   3   0   0   0]
 [  0   1 142   3   0   0]
 [  0   0   2  96   3   0]
 [  0   0   0   3  70   1]
 [  0   0   0   4   4  86]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,7,1.0,0.9566003616636528,5.742328423762286,50.80530643463135,135.0616739171052,"[[ 57   0   1   1   0   0]
 [  2  75   2   1   0   0]
 [  0   1 140   5   0   0]
 [  0   1   3  96   1   0]
 [  0   0   0   0  69   4]
 [  0   0   0   0   2  92]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,8,1.0,0.9583333333333334,5.747220630962905,54.64768409729004,133.2903329199823,"[[ 59   0   0   0   0   0]
 [  0  77   3   0   0   0]
 [  0   1 140   2   1   1]
 [  0   0   0  98   3   0]
 [  0   0   0   2  65   6]
 [  0   0   0   1   3  90]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,9,1.0,0.9582577132486388,5.7427367365735265,55.99565505981445,123.38442695224572,"[[ 59   0   0   0   0   0]
 [  0  75   2   2   1   0]
 [  0   2 143   0   0   0]
 [  0   2   2  94   2   0]
 [  0   0   0   1  67   5]
 [  0   0   0   1   3  90]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
