Classifier,Count,Cycle,Split,Train Acc,Test Acc,F1 Score,Train Time (ms),clfs per ms,Confusion Matrix,Params
KNN,Full,0,0,1.0,0.9910233393177738,5.947730738094068,51.60403251647949,142.80808210991088,"[[ 60   0   0   0   0   0]
 [  0  78   3   0   0   0]
 [  0   0 146   0   0   0]
 [  0   0   0 100   1   0]
 [  0   0   0   0  73   1]
 [  0   0   0   0   0  95]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,1,1.0,0.9838420107719928,5.91546123931685,50.75502395629883,93.42606262940174,"[[ 60   0   0   0   0   0]
 [  0  77   4   0   0   0]
 [  0   2 143   1   0   0]
 [  0   0   1 100   0   0]
 [  0   0   0   0  74   0]
 [  0   0   0   1   0  94]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,2,1.0,0.9802513464991023,5.8931375878547545,51.95298194885254,89.2778234768673,"[[ 60   0   0   0   0   0]
 [  0  77   3   1   0   0]
 [  0   0 144   2   0   0]
 [  0   0   2  99   0   0]
 [  0   0   0   0  72   2]
 [  0   0   0   1   0  94]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,3,1.0,0.987410071942446,5.931263527035566,49.35758113861084,83.32103315253084,"[[ 60   0   0   0   0   0]
 [  0  80   0   0   0   0]
 [  0   3 141   2   0   0]
 [  0   0   0 101   0   0]
 [  0   0   0   0  72   2]
 [  0   0   0   0   0  95]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,4,1.0,0.9765765765765766,5.871032992659356,76.80723667144775,88.5002949349951,"[[ 59   0   0   0   0   0]
 [  0  77   2   1   0   0]
 [  0   1 143   1   0   1]
 [  0   1   3  97   0   0]
 [  0   0   0   1  71   2]
 [  0   0   0   0   0  95]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,5,1.0,0.9927797833935018,5.95508681266842,51.00502967834473,144.96663205356094,"[[ 59   0   0   0   0   0]
 [  0  78   0   1   0   1]
 [  0   0 146   0   0   0]
 [  0   0   0 100   0   1]
 [  0   0   0   0  74   0]
 [  0   0   0   0   1  93]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,6,1.0,0.9873646209386282,5.930999652259367,53.600239753723145,86.23118119219117,"[[ 59   0   0   0   0   0]
 [  0  78   2   0   0   0]
 [  0   0 145   0   1   0]
 [  0   0   2  98   1   0]
 [  0   0   0   0  74   0]
 [  0   0   0   0   1  93]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,7,1.0,0.9837251356238698,5.9094144971650575,75.90806484222412,94.38209481224287,"[[ 59   0   0   0   0   0]
 [  0  76   3   1   0   0]
 [  0   1 144   1   0   0]
 [  0   0   1 100   0   0]
 [  0   0   0   0  73   0]
 [  0   0   0   0   2  92]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,8,1.0,0.9855072463768116,5.91464252434987,55.596327781677246,142.95120506251652,"[[ 59   0   0   0   0   0]
 [  0  75   3   1   0   1]
 [  0   1 144   0   0   0]
 [  0   0   0 100   1   0]
 [  0   0   0   0  73   0]
 [  0   0   0   0   1  93]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,9,1.0,0.9927404718693285,5.95894558237381,54.54814434051514,73.59203498495296,"[[ 59   0   0   0   0   0]
 [  0  78   1   1   0   0]
 [  0   0 144   1   0   0]
 [  0   0   0  99   1   0]
 [  0   0   0   0  73   0]
 [  0   0   0   0   0  94]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
SVM,Full,0,0,1.0,0.9892280071813285,5.93433860271808,1235.915172100067,244.02778606386556,"[[ 60   0   0   0   0   0]
 [  0  81   0   0   0   0]
 [  0   1 144   0   1   0]
 [  0   0   0 101   0   0]
 [  0   0   0   0  74   0]
 [  0   0   0   0   4  91]]","SVC(C=1.0, cache_size=200, class_weight=None, coef0=5,
  decision_function_shape='ovr', degree=5, gamma='auto', kernel='poly',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)"
SVM,Full,0,1,1.0,0.9892280071813285,5.937063277090593,1219.8574244976044,277.6943845693031,"[[ 60   0   0   0   0   0]
 [  0  79   1   1   0   0]
 [  0   0 146   0   0   0]
 [  0   0   1 100   0   0]
 [  0   0   1   0  73   0]
 [  0   0   0   0   2  93]]","SVC(C=1.0, cache_size=200, class_weight=None, coef0=10,
  decision_function_shape='ovr', degree=5, gamma='auto', kernel='poly',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)"
SVM,Full,0,2,0.9997995590298657,0.9946140035906643,5.971319540388099,1182.0528447628021,249.9000735051274,"[[ 60   0   0   0   0   0]
 [  0  81   0   0   0   0]
 [  0   0 145   1   0   0]
 [  0   0   1 100   0   0]
 [  0   0   0   0  74   0]
 [  0   0   0   0   1  94]]","SVC(C=1.0, cache_size=200, class_weight=None, coef0=5,
  decision_function_shape='ovr', degree=5, gamma='auto', kernel='poly',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)"
SVM,Full,0,3,1.0,0.9946043165467626,5.966668280495899,1204.1492342948914,277.7426742241502,"[[ 60   0   0   0   0   0]
 [  0  79   1   0   0   0]
 [  0   0 146   0   0   0]
 [  0   0   0 101   0   0]
 [  0   0   0   1  73   0]
 [  0   0   0   0   1  94]]","SVC(C=1.0, cache_size=200, class_weight=None, coef0=10,
  decision_function_shape='ovr', degree=5, gamma='auto', kernel='poly',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)"
SVM,Full,0,4,1.0,0.9891891891891892,5.937362436630658,1262.353241443634,270.291046532122,"[[ 58   1   0   0   0   0]
 [  0  79   1   0   0   0]
 [  0   1 144   1   0   0]
 [  0   0   1 100   0   0]
 [  0   0   0   0  73   1]
 [  0   0   0   0   0  95]]","SVC(C=1.0, cache_size=200, class_weight=None, coef0=5,
  decision_function_shape='ovr', degree=5, gamma='auto', kernel='poly',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)"
SVM,Full,0,5,1.0,0.9981949458483754,5.990401242192187,1225.172609090805,175.4818304790095,"[[ 59   0   0   0   0   0]
 [  0  80   0   0   0   0]
 [  0   1 145   0   0   0]
 [  0   0   0 101   0   0]
 [  0   0   0   0  74   0]
 [  0   0   0   0   0  94]]","SVC(C=1.0, cache_size=200, class_weight=None, coef0=5,
  decision_function_shape='ovr', degree=5, gamma='auto', kernel='poly',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)"
SVM,Full,0,6,1.0,0.9873646209386282,5.92646769261442,1236.8383169174194,285.7957135595709,"[[ 59   0   0   0   0   0]
 [  0  79   1   0   0   0]
 [  0   1 145   0   0   0]
 [  0   0   1  99   1   0]
 [  0   0   0   1  72   1]
 [  0   0   0   1   0  93]]","SVC(C=1.0, cache_size=200, class_weight=None, coef0=10,
  decision_function_shape='ovr', degree=5, gamma='auto', kernel='poly',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)"
SVM,Full,0,7,1.0,0.9873417721518988,5.925693885859802,1184.0990126132965,277.90596588020196,"[[ 59   0   0   0   0   0]
 [  0  77   3   0   0   0]
 [  0   1 145   0   0   0]
 [  0   0   0 100   1   0]
 [  0   0   0   1  72   0]
 [  0   0   0   0   1  93]]","SVC(C=1.0, cache_size=200, class_weight=None, coef0=10,
  decision_function_shape='ovr', degree=5, gamma='auto', kernel='poly',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)"
SVM,Full,0,8,1.0,0.9927536231884058,5.960342875320528,1194.454562664032,277.9726912285227,"[[ 59   0   0   0   0   0]
 [  0  78   2   0   0   0]
 [  0   0 145   0   0   0]
 [  0   0   0 101   0   0]
 [  0   0   0   0  73   0]
 [  0   0   0   2   0  92]]","SVC(C=1.0, cache_size=200, class_weight=None, coef0=10,
  decision_function_shape='ovr', degree=5, gamma='auto', kernel='poly',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)"
SVM,Full,0,9,1.0,0.9963702359346642,5.979461197934326,1256.115347146988,270.51465491065346,"[[ 59   0   0   0   0   0]
 [  0  80   0   0   0   0]
 [  0   0 145   0   0   0]
 [  0   0   1  99   0   0]
 [  0   0   0   0  72   1]
 [  0   0   0   0   0  94]]","SVC(C=1.0, cache_size=200, class_weight=None, coef0=5,
  decision_function_shape='ovr', degree=5, gamma='auto', kernel='poly',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)"
RF,Full,0,0,1.0,0.9784560143626571,5.881584748008719,934.6128940582275,588.0228925289061,"[[ 59   1   0   0   0   0]
 [  0  77   4   0   0   0]
 [  0   3 142   0   1   0]
 [  0   0   2  98   0   1]
 [  0   0   0   0  74   0]
 [  0   0   0   0   0  95]]","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=30, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
RF,Full,0,1,1.0,0.9784560143626571,5.871403654381872,1260.706377029419,624.7874911435403,"[[ 60   0   0   0   0   0]
 [  1  78   2   0   0   0]
 [  0   1 143   1   1   0]
 [  0   0   0 100   1   0]
 [  0   0   2   0  72   0]
 [  0   0   0   0   3  92]]","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=30, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
RF,Full,0,2,1.0,0.9946140035906643,5.96965280643367,982.7732563018799,624.7874911435403,"[[ 60   0   0   0   0   0]
 [  0  79   1   1   0   0]
 [  0   1 145   0   0   0]
 [  0   0   0 101   0   0]
 [  0   0   0   0  74   0]
 [  0   0   0   0   0  95]]","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=30, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
RF,Full,0,3,1.0,0.987410071942446,5.926447444168482,991.2076950073242,624.9127241543929,"[[ 60   0   0   0   0   0]
 [  0  80   0   0   0   0]
 [  0   1 143   2   0   0]
 [  0   0   0 100   1   0]
 [  0   0   0   0  73   1]
 [  0   0   0   0   2  93]]","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=30, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
