Classifier,Count,Cycle,Split,Train Acc,Test Acc,F1 Score,Train Time (ms),clfs per ms,Confusion Matrix,Params
KNN,Full,0,0,1.0,0.989247311827957,5.935429020545873,50.7704496383667,108.01809728407638,"[[38  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 57  0  0  0]
 [ 0  0  0 40  0  0]
 [ 0  0  0  0 34  1]
 [ 0  0  0  0  2 65]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,1,1.0,0.9856115107913669,5.913006396588487,57.766127586364746,124.26678039955138,"[[38  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 57  0  0  0]
 [ 0  0  0 39  0  0]
 [ 0  0  0  0 33  2]
 [ 0  0  0  0  2 65]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,2,1.0,0.9928057553956835,5.953563513360419,45.47555446624756,130.80377064257033,"[[37  1  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 57  0  0  0]
 [ 0  0  0 39  0  0]
 [ 0  0  0  0 34  1]
 [ 0  0  0  0  0 67]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,3,1.0,0.9927797833935018,5.9512500942324325,42.97587871551514,138.11495977500437,"[[37  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 57  0  0  0]
 [ 0  0  0 38  1  0]
 [ 0  0  0  0 34  1]
 [ 0  0  0  0  0 67]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,4,1.0,0.9963768115942029,5.980033070227436,44.27449703216553,130.91894963212866,"[[37  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 57  0  0  0]
 [ 0  0  0 39  0  0]
 [ 0  0  0  0 34  0]
 [ 0  0  0  1  0 66]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,5,1.0,0.9963636363636363,5.977932132262499,42.57545471191406,124.4213130976185,"[[37  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 56  0  0  0]
 [ 0  0  0 39  0  0]
 [ 0  0  0  0 33  1]
 [ 0  0  0  0  0 67]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,6,1.0,0.9890909090909091,5.934984516738854,45.87242603302002,138.2444377101605,"[[37  0  0  0  0  0]
 [ 0 41  1  0  0  0]
 [ 0  0 56  0  0  0]
 [ 0  0  0 39  0  0]
 [ 0  0  0  0 33  1]
 [ 0  0  0  0  1 66]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,7,1.0,0.9818181818181818,5.890537039506604,46.47209644317627,138.24260559028002,"[[37  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 56  0  0  0]
 [ 0  0  1 37  1  0]
 [ 0  0  0  0 34  0]
 [ 0  0  0  0  3 64]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,8,1.0,0.9927272727272727,5.9560581120732845,49.570536613464355,130.96503468280446,"[[37  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 56  0  0  0]
 [ 0  0  0 39  0  0]
 [ 0  0  0  0 32  2]
 [ 0  0  0  0  0 67]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,0,9,1.0,0.9927007299270073,5.951300208836798,48.973870277404785,131.02427461172007,"[[37  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 56  0  0  0]
 [ 0  0  1 37  1  0]
 [ 0  0  0  0 34  0]
 [ 0  0  0  0  0 66]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,1,0,1.0,0.992831541218638,5.9580230196343935,45.97270488739014,130.7576786501885,"[[38  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 57  0  0  0]
 [ 0  0  0 40  0  0]
 [ 0  0  0  0 35  0]
 [ 0  0  0  0  2 65]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,1,1,1.0,0.9964028776978417,5.978641517284422,42.67559051513672,124.3839824201702,"[[38  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 57  0  0  0]
 [ 0  0  0 39  0  0]
 [ 0  0  0  0 35  0]
 [ 0  0  0  0  1 66]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,1,2,1.0,0.9928057553956835,5.956503198294243,43.27521324157715,130.81198221444058,"[[38  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 57  0  0  0]
 [ 0  0  0 39  0  0]
 [ 0  0  0  0 34  1]
 [ 0  0  0  0  1 66]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,1,3,1.0,0.9819494584837545,5.891127323597117,50.67095756530762,113.01417647437799,"[[37  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 57  0  0  0]
 [ 0  0  0 39  0  0]
 [ 0  0  0  0 31  4]
 [ 0  0  0  0  1 66]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,1,4,1.0,0.9927536231884058,5.952602752784974,46.47319316864014,130.9205934339169,"[[37  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 57  0  0  0]
 [ 0  0  0 38  1  0]
 [ 0  0  0  0 34  0]
 [ 0  0  0  1  0 66]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
KNN,Full,1,5,1.0,0.9927272727272727,5.950719939526533,47.5724458694458,130.9699677002068,"[[37  0  0  0  0  0]
 [ 0 42  0  0  0  0]
 [ 0  0 56  0  0  0]
 [ 0  0  0 39  0  0]
 [ 0  0  0  1 32  1]
 [ 0  0  0  0  0 67]]","KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')"
