Amean,Avar,ASkew,AKurt,Rmean,Rvar,RSkew,RKurt,Gmean,Gvar,GSkew,GKurt,Bmean,Bvar,BSkew,BKurt,Graymean,Grayvar,GraySkew,GrayKurt,BlackRatio,WhiteRatio,Contrast0,Contrast45,Contrast90,Contrast135,Dissimilarity0,Dissimilarity45,Dissimilarity20,Dissimilarity2PI/2,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy20,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,Entropy0,Entropy45,Entropy90,Entropy135
122.5469296,2235.791022,-0.516325213,-0.378215948,122.4357617,2596.56214,-0.545028882,-0.860441804,123.1899825,2329.566635,-0.523130373,-0.564632471,122.0179922,1783.442796,-0.447949168,0.685680767,120.7407899,2552.113907,-0.577845119,-0.505653738,0.632882716,0.367117284,332.3694118,512.8579667,372.9427784,528.26909,7.935111035,9.920738463,8.199512197,10.0370278,0.539574709,0.531187786,0.54107936,0.531312508,0.482996269,0.482866331,0.482767261,0.482808338,0.966369433,0.94811734,0.962266121,0.946558292,7.672241436,7.791342614,7.683103033,7.798425226
125.2404402,2099.510445,-0.570534378,-0.233247499,125.3127651,2460.87219,-0.629503293,-0.718791867,125.7572446,2212.530497,-0.58391097,-0.44420488,124.6534427,1626.553827,-0.430587341,0.909569456,123.7581475,2398.664554,-0.644873811,-0.357099415,0.610863265,0.389136735,337.8087553,529.1404244,385.0918988,539.0404764,8.336373436,10.38492365,8.54915261,10.46396923,0.522878826,0.514617221,0.524661502,0.514830021,0.469754324,0.469232842,0.469205662,0.46915054,0.966650722,0.94776957,0.961984458,0.946792355,7.84815019,7.964841378,7.859561442,7.972310751
120.0042259,2213.065378,-0.427325776,-0.591784537,119.8625999,2579.946325,-0.480897653,-1.014182999,120.4807021,2325.52497,-0.438541428,-0.776326256,119.6705515,1735.583387,-0.302308758,0.376900879,118.8889261,2458.83445,-0.482881763,-0.709942913,0.618301117,0.381698883,332.9430718,521.259254,378.3019398,531.6231973,8.280444643,10.36837227,8.527756149,10.429711,0.506442446,0.496896956,0.509074802,0.497548713,0.444823015,0.444453779,0.444398641,0.444410258,0.96553344,0.946045591,0.960840082,0.944972842,8.134224464,8.262769488,8.138966854,8.266975905
122.1481292,2178.433628,-0.545385473,-0.295066467,122.0131665,2550.179308,-0.588607073,-0.794492214,122.6622345,2286.777706,-0.555806505,-0.498840785,121.7705899,1700.60729,-0.434581355,0.848095035,120.4114086,2489.435535,-0.606471257,-0.44882243,0.614378465,0.385621535,346.580497,546.093171,393.5640781,554.882383,8.352351397,10.47711579,8.531492168,10.52137995,0.518215153,0.50985122,0.521417739,0.509898381,0.462873644,0.462489072,0.462311126,0.462363822,0.964779666,0.944513821,0.960007561,0.943620787,7.915021595,8.035950419,7.923596912,8.042121713
122.2268312,2174.461535,-0.547505452,-0.297353047,122.2323087,2539.082519,-0.59704107,-0.786409814,122.8222111,2282.201595,-0.556463747,-0.510309639,121.6293687,1704.386958,-0.436253565,0.846100666,120.3730393,2504.259103,-0.61208525,-0.451703941,0.626670183,0.373329817,330.6752883,522.3480591,377.8761656,531.5584775,7.990323666,10.04431908,8.224997664,10.10602441,0.534026437,0.525629828,0.536767839,0.525829335,0.479197202,0.478768213,0.478695445,0.478723535,0.966275143,0.946736717,0.961463125,0.94579754,7.685224537,7.803566758,7.69668884,7.809434895
123.0012206,2107.008368,-0.540169726,-0.308958174,123.0027042,2474.565307,-0.604348502,-0.782274832,123.544081,2221.109992,-0.553806658,-0.520244801,122.4589564,1626.951516,-0.387965847,0.815531911,121.5878434,2396.610998,-0.609971783,-0.442344006,0.614900745,0.385099255,332.7491018,527.910616,385.5325875,538.4011359,8.228593373,10.32786543,8.502114952,10.4024702,0.521003774,0.512165019,0.523157037,0.512809067,0.465775736,0.465404155,0.465292148,0.465280188,0.966293248,0.94653133,0.960947999,0.945468812,7.867220809,7.986285509,7.879155627,7.99347142
122.1604056,2156.061989,-0.531526831,-0.326047474,121.9741568,2528.55007,-0.586616192,-0.809974829,122.7275742,2262.02804,-0.54073854,-0.538691103,121.7813311,1679.831096,-0.40003217,0.803347088,120.5292581,2459.088134,-0.595984618,-0.472380204,0.610746956,0.389253044,345.8539357,542.0559814,389.8317063,551.5413295,8.457710152,10.56161814,8.603574803,10.61211606,0.510653773,0.502272928,0.514010139,0.502632988,0.455027633,0.454600979,0.454438216,0.45451602,0.964848927,0.944914626,0.960380895,0.943950696,8.008743552,8.128911302,8.014881378,8.134566445
118.7557754,2137.305373,-0.623142439,-0.892676002,120.4602743,2517.365159,-0.593557715,-1.155267882,118.8469987,2293.804549,-0.592186361,-1.074290128,116.9731163,1598.222312,-0.777250846,-0.190208719,117.2258775,2438.009755,-0.625863551,-0.944073811,0.636438661,0.363561339,265.5221662,460.2499056,338.2286714,417.9935525,7.574233907,9.83356747,8.095991528,9.386637932,0.526812494,0.516674356,0.526560476,0.517671141,0.465578418,0.464884105,0.464920432,0.464825581,0.971757259,0.951053188,0.96402582,0.955547081,7.759379964,7.903678383,7.793721057,7.883690675
118.0436207,2142.215611,-0.610568725,-0.90557823,119.7714167,2525.695279,-0.576313593,-1.173763666,118.1520984,2302.10948,-0.57948323,-1.085546007,116.222251,1596.548942,-0.777208694,-0.195255959,116.5770266,2439.756587,-0.611013335,-0.963785396,0.630316509,0.369683491,278.5603303,478.0624786,349.2982216,425.9759822,7.9040151,10.1789431,8.364075776,9.643862231,0.513749796,0.504137521,0.514188802,0.505438111,0.452806269,0.452153968,0.452174236,0.452107357,0.97023332,0.948921366,0.962675838,0.954486553,7.940693556,8.084895901,7.970323806,8.060520548
125.6426495,1492.968998,-0.512622555,0.787178298,125.6614448,1692.533943,-0.639998644,0.244932968,125.3081443,1579.52714,-0.552043288,0.584258171,125.9583079,1206.938245,-0.218737647,1.842746548,124.9088915,1624.929461,-0.611997024,0.660710199,0.428077851,0.571922149,237.5434941,462.5009232,318.1364089,461.4815548,7.46558913,10.60057415,8.455111028,10.5619628,0.413316594,0.386208001,0.406465249,0.386639228,0.317433645,0.316531925,0.316862704,0.316536395,0.973327036,0.948038539,0.96426773,0.948153064,9.371072176,9.65115009,9.465815881,9.646901597
126.6848514,1488.323094,-0.565997793,0.885872113,127.0014903,1670.714269,-0.663756934,0.366012546,125.6560828,1555.315424,-0.58731288,0.661381455,127.3955864,1237.915672,-0.358558965,1.902153113,125.4760841,1614.040519,-0.656291336,0.764504059,0.417913535,0.582086465,226.4385322,449.1225807,310.4029741,452.4412133,7.165572872,10.32755538,8.207649263,10.3172028,0.417453362,0.386531377,0.409674636,0.386984947,0.310003445,0.309232589,0.309532014,0.309189568,0.974533797,0.949460329,0.965081497,0.949086884,9.380889634,9.681255406,9.486258883,9.677926236
123.5508034,1613.498711,-0.389538828,0.729948622,124.7733371,1800.439404,-0.524035928,0.26888003,121.7189064,1680.775608,-0.418916988,0.527665142,124.1594489,1354.646196,-0.134781614,1.642687341,122.0313871,1729.726691,-0.476595972,0.581650214,0.439962624,0.560037376,243.1216268,472.6651853,323.0569719,470.9186405,7.496265209,10.70763106,8.493429083,10.6759666,0.419219799,0.389515902,0.412700876,0.389952349,0.31602604,0.315158352,0.315364913,0.315128317,0.972133504,0.945795668,0.962959958,0.945995957,9.404475376,9.693927987,9.499961068,9.690470117
121.8324376,1666.14358,-0.334977721,0.647747872,122.9000318,1868.758463,-0.472613652,0.148147384,120.3401856,1741.707314,-0.370268494,0.447928643,122.2573152,1384.898983,-0.062756218,1.639107906,120.4629632,1793.176967,-0.426828672,0.486782853,0.46075139,0.53924861,246.382834,474.202924,320.6710065,472.1431008,7.504252825,10.64166798,8.38046145,10.59976722,0.432410558,0.404523251,0.426836915,0.404981841,0.33520147,0.334290998,0.334416871,0.334249046,0.971926611,0.945944,0.963452374,0.946178816,9.23978563,9.513790038,9.320152619,9.510851363
122.3545447,1662.736251,-0.334240318,0.659756767,123.6391948,1859.481068,-0.470834212,0.176938386,120.6377088,1727.895693,-0.359759965,0.45058006,122.7854779,1396.819389,-0.086578173,1.635475551,120.8275595,1787.177103,-0.424538826,0.502935145,0.459377043,0.540622957,235.0528203,475.2425819,329.7237214,473.5717774,7.298758032,10.55399866,8.38487911,10.50952037,0.436303424,0.40705129,0.42956806,0.407589869,0.335741981,0.334742498,0.334903112,0.334715902,0.973321246,0.946035773,0.962566663,0.946225503,9.203044477,9.492386514,9.304040103,9.488323116
122.3093607,1679.152418,-0.335442531,0.628355517,123.5909787,1880.234853,-0.472286443,0.143345407,120.7051634,1749.23872,-0.365702718,0.426543926,122.6320161,1404.403746,-0.079821251,1.604391748,120.8547898,1807.402154,-0.427266187,0.473565659,0.464755362,0.535244638,247.4814088,487.7367483,337.5725701,486.7097778,7.427444478,10.63238322,8.436184402,10.59541809,0.439206067,0.411079363,0.433078228,0.411537009,0.340698041,0.339660741,0.339808343,0.339615564,0.972093019,0.944976617,0.961923472,0.94509249,9.159100404,9.437838139,9.249434942,9.434416672
122.8107469,1641.206056,-0.363608874,0.697760695,123.8727607,1846.860633,-0.51135046,0.20517959,121.4574112,1711.136079,-0.397539175,0.494177251,123.1016397,1363.02787,-0.078743105,1.689130967,121.421396,1777.47358,-0.46702807,0.549085427,0.448358049,0.551641951,242.1334265,473.4203555,320.3775271,465.8330189,7.480756511,10.66760809,8.417213317,10.57104533,0.423841838,0.395091302,0.417487348,0.395943737,0.323675272,0.322778738,0.322991239,0.322772104,0.972400805,0.946012736,0.963471194,0.946878001,9.335852867,9.61941526,9.424342685,9.611272952
122.9606421,1644.608101,-0.339570034,0.684062711,124.16664,1848.38972,-0.478211653,0.187048344,121.2487249,1710.535612,-0.364495437,0.472870264,123.4653842,1370.921588,-0.082331274,1.68911543,121.379885,1775.964503,-0.435525984,0.531967861,0.456298385,0.543701615,229.3960151,450.7693087,302.8047246,447.1027523,7.184433137,10.28477994,8.069574118,10.21570037,0.437640881,0.408141275,0.430906509,0.408633275,0.33603188,0.335013267,0.33519323,0.334969247,0.974085065,0.949054401,0.965783456,0.949468814,9.17744448,9.460290978,9.262378965,9.455140915
123.2306036,1643.79672,-0.342938963,0.71207777,124.3268177,1849.220577,-0.490350984,0.224570604,121.5773821,1711.132179,-0.372429614,0.499409351,123.7860492,1367.307058,-0.061803481,1.696324089,121.7488637,1768.289678,-0.436815737,0.553456766,0.453639497,0.546360503,247.2905957,478.2730885,323.9783765,474.955905,7.503593417,10.67168016,8.418317732,10.6130826,0.432027727,0.404054456,0.426120196,0.40447531,0.333913277,0.333018768,0.333139947,0.332981314,0.972126303,0.946067167,0.963472957,0.946441247,9.232576341,9.508480554,9.317995329,9.503809256
121.9030941,1677.134748,-0.318652138,0.692650275,123.0717173,1877.178984,-0.463470791,0.18813431,120.204671,1753.364598,-0.348851864,0.48518196,122.4328205,1396.880645,-0.043177418,1.700623227,120.3058905,1815.615566,-0.416839643,0.52814328,0.454571874,0.545428126,242.4489626,477.3785983,327.7614301,475.1745014,7.454460998,10.7072458,8.52749418,10.66869512,0.425289613,0.396481392,0.417395555,0.39667704,0.324921954,0.323981614,0.324078212,0.323972044,0.972189254,0.945216555,0.962393752,0.945469518,9.329453629,9.619163336,9.434013626,9.615837215
