Amean,Avar,ASkew,AKurt,Rmean,Rvar,RSkew,RKurt,Gmean,Gvar,GSkew,GKurt,Bmean,Bvar,BSkew,BKurt,Graymean,Grayvar,GraySkew,GrayKurt,BlackRatio,WhiteRatio,Contrast0,Contrast45,Contrast90,Contrast135,Dissimilarity0,Dissimilarity45,Dissimilarity20,Dissimilarity2PI/2,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy20,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,Entropy0,Entropy45,Entropy90,Entropy135
125.6025028,4048.118678,0.158732034,-1.270185413,111.8591356,5496.850619,0.328435212,-1.528916802,124.7048396,4055.67612,0.337434639,-1.414702757,140.2435333,2187.783577,0.415972832,-0.795955391,123.0954673,4160.687083,0.339644979,-1.427069796,0.584647704,0.415352296,354.5734798,588.8154648,268.5855302,598.3939197,12.6447856,15.69306517,7.122818734,15.90722652,0.158944173,0.12303831,0.258483637,0.124829921,0.01427884,0.012622399,0.020331743,0.012668942,0.957402556,0.929256061,0.967732285,0.928105247,13.10306933,13.46239866,12.32236209,13.45299222
122.6807136,4028.26707,0.172743212,-1.262802427,109.1173767,5460.530569,0.338651506,-1.522664107,121.7347382,4047.407336,0.347696914,-1.404483431,137.1900258,2181.484189,0.436535026,-0.758017472,120.1678751,4147.540833,0.350390327,-1.417037385,0.584703704,0.415296296,347.9927143,582.8237825,266.9274454,589.3696105,12.50038191,15.67688088,7.079701497,15.64128817,0.160147978,0.123477972,0.259987247,0.126109057,0.014408441,0.012726943,0.020616586,0.012821071,0.958057903,0.92974935,0.967828852,0.928960342,13.07828166,13.4431421,12.29797873,13.42585431
128.5463656,4112.450841,0.138919134,-1.285311043,114.5919016,5617.091719,0.314174226,-1.545285473,127.5860207,4110.548454,0.32460169,-1.435561854,143.4611744,2191.611502,0.394070348,-0.841768511,125.969369,4222.862294,0.326195565,-1.447762897,0.582335259,0.417664741,361.5676624,600.6431696,267.1705162,595.9205084,12.76536445,16.14968484,7.195078257,15.70439042,0.158261523,0.120676437,0.254764504,0.124610678,0.01414903,0.012412756,0.019994635,0.012574735,0.957198105,0.928890689,0.96837251,0.929449788,13.12409547,13.4978577,12.35854547,13.46452529
123.1235423,4019.751189,0.207938504,-1.239242925,109.1880763,5448.590484,0.38431268,-1.481970632,122.2703874,4024.953064,0.388841875,-1.369194834,137.9121631,2172.081628,0.457581858,-0.715075413,120.6181683,4127.307474,0.391976043,-1.380339201,0.599186963,0.400813037,359.1241547,592.3681349,264.7901823,598.2821375,12.77508695,15.93736344,7.081764043,15.94323719,0.156580265,0.120225048,0.259883223,0.122269561,0.014093833,0.012457255,0.020627187,0.012524399,0.95651309,0.928261799,0.967934027,0.927545592,13.11036554,13.47307519,12.29927984,13.46026859
121.2390351,3785.878107,0.137850345,-1.291944883,110.8180775,5125.272313,0.245562984,-1.590276253,120.4015224,3917.880668,0.264197655,-1.463819838,132.4975055,2078.430398,0.432919005,-0.686566519,119.2371607,3981.922413,0.267314176,-1.475246562,0.554127259,0.445872741,239.2131005,439.4133982,224.6135687,442.7505004,9.659121781,12.75579795,6.472022825,12.5217269,0.198933355,0.156779691,0.277365247,0.160317077,0.0172895,0.015249501,0.022556544,0.015420722,0.969972591,0.944840933,0.971805729,0.944422024,12.69041153,13.09242165,12.09531885,13.06709789
123.3815742,3769.468142,0.120576878,-1.30037094,112.7165959,5132.193331,0.23346217,-1.601855572,122.5963841,3880.928354,0.25552341,-1.476731501,134.8317427,2049.818097,0.417509496,-0.714739789,121.3790985,3953.512302,0.257597333,-1.488775664,0.551521481,0.448478519,235.8503017,434.2634705,223.6119263,439.1990339,9.587951688,12.65725584,6.557052171,12.60327342,0.196597034,0.15433947,0.27339149,0.157131318,0.01733315,0.015292618,0.022663397,0.015409177,0.970181089,0.945094878,0.971728762,0.944470856,12.68826215,13.09414094,12.10546401,13.07675193
121.9337384,3726.715374,0.130832076,-1.299476706,111.635307,5077.344995,0.237535995,-1.603076711,121.1725701,3847.463074,0.259858524,-1.47615999,132.9933381,2026.386241,0.433026137,-0.684681987,119.998179,3917.227508,0.261972093,-1.487952958,0.550391704,0.449608296,228.1430355,428.9818511,224.7478175,430.8943602,9.428965803,12.50209014,6.602677486,12.5045528,0.19645979,0.154452895,0.272780454,0.156657077,0.017490845,0.015474525,0.022905218,0.015552135,0.970891019,0.94526561,0.971324098,0.945021579,12.66103965,13.0675373,12.09438582,13.05408178
122.1847972,3786.315178,0.132908565,-1.310404318,111.5219234,5157.947829,0.247746005,-1.605182074,121.3453721,3894.760645,0.267321008,-1.481340168,133.687096,2059.53267,0.423390718,-0.728898421,120.1477276,3970.061339,0.269519057,-1.493567543,0.555089333,0.444910667,234.2967995,435.0055717,225.9041359,439.890315,9.5710216,12.65944451,6.589097525,12.63704828,0.195606706,0.153574517,0.27328171,0.155531448,0.017416894,0.015403765,0.022899806,0.015479625,0.970497753,0.945223779,0.971554601,0.94460869,12.66954461,13.0729449,12.08780437,13.06317233
120.9985598,3606.098885,0.158226629,-1.221253637,112.603059,4913.856761,0.217038418,-1.564171288,120.7706453,3765.914203,0.249408821,-1.419092095,129.621975,1993.626021,0.506708364,-0.400937378,119.6732141,3822.623805,0.251570382,-1.428105346,0.542414667,0.457585333,224.3614424,448.1835246,247.2064698,446.0159881,9.4037451,12.72533352,6.94515518,12.66975905,0.191561451,0.149000547,0.263645544,0.151322635,0.017098418,0.015038743,0.021976131,0.015122317,0.970659161,0.941390115,0.967670336,0.941673566,12.69380774,13.11799914,12.18641301,13.10402327
123.9315426,3718.859027,0.194194262,-1.225761012,114.9849172,5086.637073,0.264396171,-1.549439461,123.9349154,3866.014055,0.292283793,-1.413538331,132.8747953,2043.902068,0.515056331,-0.447710281,122.6776061,3932.114753,0.294023658,-1.421678702,0.562100889,0.437899111,254.8945727,480.6378157,251.2134232,481.6334575,10.22664547,13.54070773,6.993057359,13.49342563,0.182037973,0.14095623,0.262417443,0.143308391,0.016474544,0.014486159,0.021619168,0.014560547,0.967589178,0.938885484,0.968056197,0.938758884,12.81745345,13.22996993,12.23213194,13.21709299
