Amean,Avar,ASkew,AKurt,Rmean,Rvar,RSkew,RKurt,Gmean,Gvar,GSkew,GKurt,Bmean,Bvar,BSkew,BKurt,Graymean,Grayvar,GraySkew,GrayKurt,BlackRatio,WhiteRatio,Contrast0,Contrast45,Contrast90,Contrast135,Dissimilarity0,Dissimilarity45,Dissimilarity20,Dissimilarity2PI/2,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy20,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,Entropy0,Entropy45,Entropy90,Entropy135
134.2665736,1785.549341,-0.196127982,-0.44865728,132.4491489,2216.351956,-0.304246019,-0.836070044,134.472269,1884.284791,-0.209303265,-0.663569334,135.8783028,1250.068263,0.211565138,0.286892469,134.143731,1889.521886,-0.215491567,-0.671604076,0.410052296,0.589947704,259.2360305,432.2037676,216.8439705,431.6641851,10.66520707,13.78213043,7.725214021,13.3858347,0.171548467,0.131196605,0.224704895,0.136615339,0.01648017,0.013978183,0.017981571,0.0143275,0.931420961,0.885693746,0.942642427,0.885836458,12.91308131,13.32021672,12.49684212,13.27435094
129.3397898,1811.800567,-0.217417343,-0.422140359,127.4832354,2231.491695,-0.328561179,-0.808246665,129.4959748,1911.972904,-0.234458638,-0.628381297,131.0401591,1285.574659,0.193319556,0.284532154,129.1796034,1915.364582,-0.239043644,-0.638527728,0.393267111,0.606732889,245.9529323,422.3219204,220.7896387,424.2260761,10.29301634,13.43927255,7.757203794,13.10691395,0.175522619,0.134225026,0.224323877,0.139488039,0.016618648,0.014093944,0.01794923,0.014460398,0.935831188,0.889846948,0.942403092,0.889350296,12.88009561,13.29645942,12.50432903,13.25165669
130.0497536,1822.176635,-0.183626174,-0.485734334,128.0294147,2246.764586,-0.287168573,-0.866772683,130.1594059,1924.929866,-0.196190343,-0.693204752,131.9604401,1287.090936,0.214628343,0.217200139,129.8366374,1928.322361,-0.200781181,-0.702230294,0.406555111,0.593444889,248.8938246,423.3296681,218.2517168,420.7644604,10.36381149,13.51536061,7.758827479,13.03401519,0.175444182,0.134775525,0.223990628,0.14062418,0.016637565,0.01412114,0.018040534,0.014501258,0.935481118,0.890292228,0.943430538,0.890957023,12.8890776,13.29967655,12.50767145,13.24737715
127.649958,1906.587035,-0.159926083,-0.508311633,125.6460908,2349.071921,-0.262329278,-0.8941928,127.8158281,2014.150965,-0.174981401,-0.710361133,129.487955,1349.116989,0.230555151,0.223124442,127.4753193,2017.171331,-0.178869981,-0.720116915,0.412164,0.587836,255.1967354,434.8009068,225.6882336,437.9780846,10.51362588,13.63443499,7.803960871,13.3954057,0.173355291,0.133092009,0.227125779,0.138071372,0.016059007,0.013647098,0.017740091,0.014000344,0.936779535,0.892314065,0.944094816,0.891527187,12.94830176,13.35856782,12.53689603,13.31904987
128.3967955,1937.96661,-0.172893944,-0.506649654,126.4210073,2388.232109,-0.275354929,-0.888081211,128.540089,2046.374315,-0.187780746,-0.70802503,130.2292901,1372.011097,0.216543184,0.209046276,128.2115756,2050.174145,-0.192296596,-0.717291748,0.408614519,0.591385481,267.1139414,450.1476241,229.7253825,451.7141825,10.81882465,13.99228467,7.912723877,13.70289785,0.169031818,0.129148922,0.223537506,0.134287613,0.015835034,0.013439368,0.017469195,0.013779243,0.934896842,0.890316687,0.944016972,0.889934984,12.99131391,13.40031225,12.572498,13.35986534
124.1416812,1998.014826,-0.15030673,-0.536831596,122.040597,2447.589486,-0.248221501,-0.913740633,124.2046046,2111.705758,-0.16495297,-0.731055725,126.1798419,1426.17662,0.224701672,0.164050001,123.8871676,2113.68095,-0.168400025,-0.740762963,0.408996,0.591004,264.8308449,451.7874655,234.7014777,453.7425588,10.73067674,13.90624354,7.952635838,13.65563636,0.171009007,0.130977971,0.225440172,0.136474284,0.015774898,0.013416819,0.017511141,0.013780397,0.937389044,0.893218411,0.944520308,0.892756321,12.99785757,13.40657347,12.58309777,13.36518133
129.0027615,1842.162996,-0.175795078,-0.454873011,126.9349105,2270.70434,-0.283479711,-0.841609231,129.1638126,1941.921374,-0.188803943,-0.660342982,130.9095615,1305.925444,0.229093317,0.25220968,128.8160394,1946.656525,-0.193534606,-0.66998415,0.404955111,0.595044889,246.0145247,416.743859,214.524122,420.9441757,10.32996999,13.30417061,7.576121091,13.18384089,0.176048239,0.135271032,0.230337716,0.140082514,0.016455672,0.013993323,0.018073044,0.014355546,0.936843602,0.893043461,0.944934162,0.891965425,12.8919786,13.29866045,12.47819328,13.26446787
122.5505162,2536.695425,-0.021976338,-0.83176304,119.8154584,3166.19287,-0.090685141,-1.193008374,122.5847536,2683.803683,-0.023497764,-1.026968631,125.2513367,1745.313577,0.309447598,-0.08089595,122.188539,2691.538043,-0.025827789,-1.033617214,0.458558667,0.541441333,315.3575706,522.3769883,261.7774915,515.905872,11.8131678,15.03904414,8.548844375,14.93016184,0.161988855,0.126444608,0.21816107,0.126223359,0.014655696,0.012779529,0.017018025,0.012745097,0.941442225,0.90301747,0.951395833,0.904218868,13.21154965,13.5673104,12.73622694,13.57409859
132.9885961,2392.815642,-0.109005434,-0.837100867,130.3213671,3021.035506,-0.176188302,-1.18357351,133.1406261,2517.157842,-0.105387961,-1.0417242,135.5037951,1626.790129,0.229245808,-0.158730676,132.711918,2534.102928,-0.10949009,-1.045983514,0.442134963,0.557865037,302.290631,486.5894756,238.9490993,490.9535096,11.4647607,14.40291836,8.132119609,14.60970983,0.1681639,0.131523053,0.225187868,0.129645846,0.016054823,0.013969862,0.018053791,0.013839277,0.940335679,0.903978691,0.952840974,0.903117507,13.07377288,13.42565092,12.5993893,13.45509628
134.0656331,2348.545032,-0.099151326,-0.851374836,131.5429492,2972.295534,-0.164100507,-1.196826405,134.3062003,2474.822342,-0.096678118,-1.058756062,136.3477499,1586.887356,0.229186859,-0.148647843,133.8662052,2490.044832,-0.100335817,-1.062342539,0.449218667,0.550781333,305.0347317,489.8879587,240.2473241,493.8647602,11.5278641,14.45102317,8.14334934,14.67425425,0.167472758,0.130876976,0.225578409,0.129355505,0.015972738,0.013893547,0.018070085,0.013805275,0.93873659,0.901627682,0.951757968,0.900829115,13.07790519,13.42969432,12.59324108,13.45522405
