Classifier,Count,Cycle,Split,Train Acc,Test Acc,F1 Score,Train Time (ms),clfs per ms,Confusion Matrix,Params
Ramos,Full,0,0,1,0.841726619,5.07401354,25.70753098,24.54323812,"[[ 58   1   0   0   0   0]
 [  0  66  15   0   0   0]
 [  0  11 129   4   2   0]
 [  0   0   8  79  12   2]
 [  0   0   1  12  54   7]
 [  0   0   1   2  10  82]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[75.92388, 76.29088, ...,  7.94709, 56.9164 ],
       [76.29088, 76.72013, ...,  8.03796, 57.1613 ],
       ...,
       [ 7.94709,  8.03796, ...,  0.87735,  5.93132],
       [56.9164 , 57.1613 , ...,  5.93132, 42.68254]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,0,1,1,0.857913669,5.145465373,23.18034172,26.58886428,"[[ 59   0   0   0   0   0]
 [  1  75   4   1   0   0]
 [  1   7 131   3   4   0]
 [  0   2   9  77  11   2]
 [  0   0   0  15  51   8]
 [  0   0   1   2   8  84]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[75.92388, 76.29088, ..., 56.9164 , 65.40687],
       [76.29088, 76.72013, ..., 57.1613 , 65.74748],
       ...,
       [56.9164 , 57.1613 , ..., 42.68254, 49.0201 ],
       [65.40687, 65.74748, ..., 49.0201 , 56.35656]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,0,2,1,0.888288288,5.363133472,23.97236824,25.25611995,"[[ 59   0   0   0   0   0]
 [  1  76   3   0   0   0]
 [  1   4 135   3   3   0]
 [  1   0  11  81   7   1]
 [  0   0   1   6  65   2]
 [  0   0   2   6  10  77]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[75.92388, 76.29088, ..., 56.9164 , 65.40687],
       [76.29088, 76.72013, ..., 57.1613 , 65.74748],
       ...,
       [56.9164 , 57.1613 , ..., 42.68254, 49.0201 ],
       [65.40687, 65.74748, ..., 49.0201 , 56.35656]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,0,3,1,0.841441441,5.069960708,22.24416733,23.19940245,"[[ 58   1   0   0   0   0]
 [  0  71   9   0   0   0]
 [  1   7 128   6   4   0]
 [  0   1  10  75  14   1]
 [  0   0   0  10  53  11]
 [  0   0   2   3   8  82]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[75.92388, 76.29088, ..., 56.9164 , 65.40687],
       [76.29088, 76.72013, ..., 57.1613 , 65.74748],
       ...,
       [56.9164 , 57.1613 , ..., 42.68254, 49.0201 ],
       [65.40687, 65.74748, ..., 49.0201 , 56.35656]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,0,4,1,0.864864865,5.184162738,21.87268734,22.7954783,"[[ 59   0   0   0   0   0]
 [  2  71   5   1   0   1]
 [  0   9 133   3   1   0]
 [  0   0   8  76  15   2]
 [  0   0   0  12  54   8]
 [  0   0   0   1   7  87]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[75.92388,  1.42034, ..., 56.9164 , 65.40687],
       [ 1.42034,  1.95315, ...,  1.23536,  1.08562],
       ...,
       [56.9164 ,  1.23536, ..., 42.68254, 49.0201 ],
       [65.40687,  1.08562, ..., 49.0201 , 56.35656]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,0,5,1,0.842960289,5.10769956,21.87147141,24.55317142,"[[ 58   1   0   0   0   0]
 [  1  72   6   0   1   0]
 [  1  14 124   6   1   0]
 [  0   0  11  72  18   0]
 [  0   0   2   8  60   4]
 [  0   0   1   0  12  81]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[75.92388, 76.29088, ..., 56.9164 , 65.40687],
       [76.29088, 76.72013, ..., 57.1613 , 65.74748],
       ...,
       [56.9164 , 57.1613 , ..., 42.68254, 49.0201 ],
       [65.40687, 65.74748, ..., 49.0201 , 56.35656]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,0,6,1,0.839350181,5.045412402,21.87325954,26.59888916,"[[ 58   0   0   1   0   0]
 [  0  70   8   2   0   0]
 [  0  11 126   6   3   0]
 [  0   0   9  77  14   1]
 [  0   0   1  15  47  11]
 [  0   0   0   2   5  87]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[75.92388, 76.29088, ..., 56.9164 , 65.40687],
       [76.29088, 76.72013, ..., 57.1613 , 65.74748],
       ...,
       [56.9164 , 57.1613 , ..., 42.68254, 49.0201 ],
       [65.40687, 65.74748, ..., 49.0201 , 56.35656]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,0,7,1,0.867992767,5.232155965,28.12254429,24.55630769,"[[ 58   1   0   0   0   0]
 [  0  72   8   0   0   0]
 [  0   9 130   7   0   0]
 [  0   0  10  79  11   1]
 [  0   0   2   9  55   7]
 [  0   0   0   3   5  86]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[76.72013,  1.08589, ...,  8.03796, 65.74748],
       [ 1.08589,  1.95315, ..., -0.14744,  1.08562],
       ...,
       [ 8.03796, -0.14744, ...,  0.87735,  6.86746],
       [65.74748,  1.08562, ...,  6.86746, 56.35656]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,0,8,1,0.860507246,5.172498774,23.43409061,26.60979331,"[[ 58   1   0   0   0   0]
 [  0  74   5   1   0   0]
 [  0   6 132   6   1   0]
 [  0   0   9  78  12   2]
 [  0   0   3  12  51   7]
 [  0   0   2   1   9  82]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[75.92388, 76.29088, ..., 56.9164 , 65.40687],
       [76.29088, 76.72013, ..., 57.1613 , 65.74748],
       ...,
       [56.9164 , 57.1613 , ..., 42.68254, 49.0201 ],
       [65.40687, 65.74748, ..., 49.0201 , 56.35656]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,0,9,1,0.851179673,5.123780755,26.61812305,22.81120481,"[[ 59   0   0   0   0   0]
 [  3  63  14   0   0   0]
 [  0  10 129   2   3   1]
 [  0   0  10  77  11   2]
 [  0   0   2   9  55   7]
 [  0   0   0   3   5  86]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[75.92388, 76.29088, ..., 56.9164 , 65.40687],
       [76.29088, 76.72013, ..., 57.1613 , 65.74748],
       ...,
       [56.9164 , 57.1613 , ..., 42.68254, 49.0201 ],
       [65.40687, 65.74748, ..., 49.0201 , 56.35656]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
